初始等级案由,次级案由,三级案由
劳动者单方解除劳动合同纠纷,劳动者预告解除（提前三十日/试用期提前三日通知）纠纷,解除后工作交接与离职证明争议
劳动者单方解除劳动合同纠纷,劳动者即时解除（被迫离职）纠纷,因用人单位未及时足额支付劳动报酬
劳动者单方解除劳动合同纠纷,劳动者即时解除（被迫离职）纠纷,因用人单位未依法缴纳社会保险费
劳动者单方解除劳动合同纠纷,劳动者即时解除（被迫离职）纠纷,因用人单位的规章制度违反法律法规，损害劳动者权益
劳动者单方解除劳动合同纠纷,劳动者即时解除（被迫离职）纠纷,因用人单位以暴力、威胁或非法限制人身自由手段强迫劳动，或违章指挥、强令冒险作业危及人身安全
劳动者单方解除劳动合同纠纷,劳动者即时解除（被迫离职）纠纷,因用人单位存在其他过错导致劳动合同无法履行（如单方变更合同内容、长期待岗等）
劳动者单方解除劳动合同纠纷,就解除程序与后果产生的纠纷,解除通知是否有效送达
劳动者单方解除劳动合同纠纷,就解除程序与后果产生的纠纷,经济补偿金计算标准争议
劳动者单方解除劳动合同纠纷,就解除程序与后果产生的纠纷,工资、加班费、年休假折算等结算争议
用人单位单方解除劳动合同纠纷,因劳动者严重违纪解除纠纷,规章制度合法性及公示程序争议
用人单位单方解除劳动合同纠纷,因劳动者严重违纪解除纠纷,“严重违纪”行为事实认定争议
用人单位单方解除劳动合同纠纷,因劳动者严重违纪解除纠纷,解除程序（通知工会等）履行争议
用人单位单方解除劳动合同纠纷,因劳动者严重失职、营私舞弊解除纠纷,“重大损害”的认定标准争议
用人单位单方解除劳动合同纠纷,因劳动者严重失职、营私舞弊解除纠纷,因果关系及主观过错认定争议
用人单位单方解除劳动合同纠纷,因劳动者不胜任工作解除纠纷,“不胜任”的考核标准合理性争议
用人单位单方解除劳动合同纠纷,因劳动者不胜任工作解除纠纷,培训或调岗程序的履行争议
用人单位单方解除劳动合同纠纷,因劳动者不胜任工作解除纠纷,二次考核仍不胜任的认定争议
用人单位单方解除劳动合同纠纷,因劳动者不胜任工作解除纠纷,因客观情况发生重大变化解除纠纷
用人单位单方解除劳动合同纠纷,“客观情况重大变化”的认定争议,“客观情况重大变化”的认定争议
用人单位单方解除劳动合同纠纷,“客观情况重大变化”的认定争议,协商变更劳动合同程序的履行争议
用人单位单方解除劳动合同纠纷,因医疗期满解除纠纷,医疗期期限计算争议
用人单位单方解除劳动合同纠纷,因医疗期满解除纠纷,劳动者能否从事原工作或另行安排工作的认定争议
用人单位单方解除劳动合同纠纷,因医疗期满解除纠纷,劳动能力鉴定程序的履行争议
用人单位单方解除劳动合同纠纷,经济性裁员纠纷,裁员实体条件（法定情形）符合性争议
用人单位单方解除劳动合同纠纷,经济性裁员纠纷,裁员程序（说明情况、报告等）合法性争议
用人单位单方解除劳动合同纠纷,经济性裁员纠纷,优先留用人员及优先招用规定的执行争议
终止劳动合同纠纷,劳动合同期满终止纠纷,固定期限劳动合同期满终止
终止劳动合同纠纷,劳动合同期满终止纠纷,以完成一定工作任务为期限的劳动合同因任务完成终止
终止劳动合同纠纷,劳动者开始依法享受基本养老保险待遇或达到法定退休年龄终止纠纷,劳动者达到法定退休年龄终止
终止劳动合同纠纷,劳动者开始依法享受基本养老保险待遇或达到法定退休年龄终止纠纷,劳动者开始享受基本养老保险待遇终止
终止劳动合同纠纷,因用人单位主体资格丧失终止纠纷,用人单位被依法宣告破产终止
终止劳动合同纠纷,因用人单位主体资格丧失终止纠纷,用人单位被吊销营业执照、责令关闭、撤销或决定提前解散终止
终止劳动合同纠纷,因客观情况发生重大变化导致劳动合同无法履行而终止纠纷,
终止劳动合同纠纷,法律、行政法规规定的其他终止情形纠纷,
协议解除劳动合同纠纷,协商解除后经济补偿争议纠纷,协议约定的补偿标准低于法定标准是否有效
协议解除劳动合同纠纷,协商解除后经济补偿争议纠纷,未约定补偿或约定“无任何争议”后，劳动者能否再主张
协议解除劳动合同纠纷,协议效力认定纠纷,劳动者主张协议存在欺诈、胁迫、重大误解或显失公平而请求撤销
协议解除劳动合同纠纷,协议效力认定纠纷,用人单位主张协议有效并已履行完毕
协议解除劳动合同纠纷,协议履行纠纷,一方未按协议约定支付款项、办理档案社保转移手续等引发的争议
解除/终止劳动合同经济补偿金纠纷,经济补偿金支付条件争议纠纷,用人单位提出的解除是否属于应支付经济补偿金的法定情形（如协商解除由谁提出、用人单位依据的解除理由是否成立等）
解除/终止劳动合同经济补偿金纠纷,经济补偿金计算基数争议纠纷,计算经济补偿金的“劳动者在劳动合同解除或者终止前十二个月的平均工资”具体包含哪些项目（加班费、年终奖、津贴补贴等是否计入）
解除/终止劳动合同经济补偿金纠纷,经济补偿金工作年限计算争议纠纷,非因劳动者本人原因从原用人单位被安排到新用人单位工作，工作年限是否合并计算
解除/终止劳动合同经济补偿金纠纷,经济补偿金工作年限计算争议纠纷,试用期是否计入工作年限
解除/终止劳动合同经济补偿金纠纷,经济补偿金工作年限计算争议纠纷,中断工作期间是否扣除
解除/终止劳动合同经济补偿金纠纷,经济补偿金分段计算争议纠纷,对于2008年1月1日《劳动合同法》施行前入职的劳动者，其经济补偿金是否需分段计算（2008年前后计算规则不同）
违法解除/终止劳动合同赔偿金纠纷,解除事实依据不足争议纠纷,用人单位以“严重违反规章制度”、“严重失职”等为由单方解除，但所依据的事实不清、证据不足或达不到“严重”程度
违法解除/终止劳动合同赔偿金纠纷,解除制度依据不合法争议纠纷,用人单位据以解除的规章制度未经过民主程序制定、未向劳动者公示告知，或内容本身违反法律强制性规定。
违法解除/终止劳动合同赔偿金纠纷,解除程序违法争议纠纷,用人单位在解除前未履行法定程序，如未通知工会、未给予劳动者申辩机会（如“末位淘汰”直接解除）、医疗期内解除等
违法解除/终止劳动合同赔偿金纠纷,解除理由与事实不符争议纠纷,用人单位解除时陈述的理由（如“旷工”）与实际情况（如已履行请假手续）不符，或事后变更解除理由
违法解除/终止劳动合同赔偿金纠纷,终止劳动合同违法争议纠纷,劳动合同期满终止，但劳动者符合《劳动合同法》第四十二条规定的应续延情形（如女职工“三期”、工伤职工等）
违法解除/终止劳动合同赔偿金纠纷,终止劳动合同违法争议纠纷,用人单位违法终止无固定期限劳动合同
竞业限制纠纷,竞业限制协议效力争议纠纷,协议主体是否适格（劳动者是否为高级管理人员、高级技术人员和其他负有保密义务的人员）、协议内容是否违反法律强制性规定、是否采取欺诈胁迫手段签订。
竞业限制纠纷,竞业限制经济补偿争议纠纷,用人单位未支付经济补偿、补偿标准是否符合法定或约定（如低于劳动合同解除前十二个月平均工资的30%或当地最低工资标准）、补偿支付方式是否合规
竞业限制纠纷,竞业限制违约金争议纠纷,劳动者是否违反竞业限制义务（入职竞争单位、自营竞争业务等）、违约金约定是否过高需予调减、用人单位实际损失与违约金的匹配性。
竞业限制纠纷,竞业限制义务解除争议纠纷,因用人单位原因导致三个月未支付经济补偿，劳动者主张解除协议
竞业限制纠纷,竞业限制义务解除争议纠纷,因用人单位单方提出解除、商业秘密已公开等导致协议终止。
服务期纠纷,服务期协议效力争议纠纷,培训是否属于可约定服务期的“专项技术培训”
服务期纠纷,服务期协议效力争议纠纷,协议是否存在欺诈、胁迫或免除用人单位法定责任、排除劳动者主要权利等无效情形
服务期纠纷,培训费用范围与金额争议纠纷,用人单位主张的培训费用是否真实、合理，是否仅限于有凭证的“专项培训费用”（如培训费、差旅费），是否包含工资、社保等一般性支出
服务期纠纷,服务期违约金计算争议纠纷,劳动者违反服务期约定时，违约金计算方式是否符合“不得超过用人单位提供的培训费用”及“不得超过服务期尚未履行部分所应分摊的培训费用”的双重限制
服务期纠纷,服务期解除与免责争议纠纷,劳动者依据《劳动合同法》第三十八条（用人单位过错）解除劳动合同，是否仍需支付违约金
服务期纠纷,服务期解除与免责争议纠纷,因用人单位原因导致劳动者无法履行服务期等。
工伤保险待遇纠纷,工伤医疗费及康复费争议纠纷,医疗费用是否属于工伤保险诊疗项目目录、药品目录、住院服务标准范围
工伤保险待遇纠纷,工伤医疗费及康复费争议纠纷,康复治疗的必要性与费用合理性
工伤保险待遇纠纷,工伤医疗费及康复费争议纠纷,用人单位未参保时全额赔偿责任的承担
工伤保险待遇纠纷,停工留薪期工资（原工资福利待遇）争议纠纷,停工留薪期的期限确定（依据医疗诊断证明或鉴定结论）
工伤保险待遇纠纷,停工留薪期工资（原工资福利待遇）争议纠纷,“原工资”的计算标准（是否包含加班费、奖金等）
工伤保险待遇纠纷,停工留薪期工资（原工资福利待遇）争议纠纷,期满后仍需治疗或拒绝返岗的待遇处理
工伤保险待遇纠纷,护理费争议纠纷,停工留薪期内是否需要护理及护理依赖等级的认定
工伤保险待遇纠纷,护理费争议纠纷,护理费计算标准（参照当地护工工资或实际支出凭证）
工伤保险待遇纠纷,一次性伤残待遇争议纠纷,劳动能力鉴定等级争议
工伤保险待遇纠纷,一次性伤残待遇争议纠纷,一次性伤残补助金、一次性工伤医疗补助金、一次性伤残就业补助金的计算基数（本人工资）及支付责任主体（基金支付或用人单位支付）。
工伤保险待遇纠纷,伤残津贴及生活护理费争议纠纷,一至四级伤残职工伤残津贴的调整与支付；生活护理依赖等级的确认及护理费标准的适用。
工伤保险待遇纠纷,工亡待遇争议纠纷,丧葬补助金、供养亲属抚恤金、一次性工亡补助金的计算标准及分配
工伤保险待遇纠纷,工亡待遇争议纠纷,用人单位未参保时的全额赔偿责任
工伤保险待遇纠纷,工伤保险待遇先行支付及追偿纠纷,用人单位未依法参保且不支付待遇时，工伤保险基金先行支付的条件、范围及后续向用人单位的追偿。
其他福利待遇纠纷,企业年金（职业年金）待遇支付纠纷,年金方案的效力与适用范围
其他福利待遇纠纷,企业年金（职业年金）待遇支付纠纷,职工归属权益的确认（如服务年限要求）
其他福利待遇纠纷,企业年金（职业年金）待遇支付纠纷,年金待遇的领取条件、计算方式及支付主体（企业年金理事会或受托机构）
其他福利待遇纠纷,企业年金（职业年金）待遇支付纠纷,离职时年金账户权益的转移或支付争议
其他福利待遇纠纷,补充医疗保险待遇报销纠纷,补充医保的保障范围、报销比例、起付线及封顶线等具体条款的解释
其他福利待遇纠纷,补充医疗保险待遇报销纠纷,用人单位单方变更或取消补充医保方案的效力
其他福利待遇纠纷,补充医疗保险待遇报销纠纷,医疗费用票据的合规性审核
其他福利待遇纠纷,补充医疗保险待遇报销纠纷,用人单位未履行报销承诺的责任
其他福利待遇纠纷,节日福利、补贴及实物发放纠纷,用人单位承诺或惯例发放的节日补贴、购物卡、实物等是否构成固定的劳动报酬组成部分
其他福利待遇纠纷,节日福利、补贴及实物发放纠纷,用人单位单方取消或降低标准是否合法合理
其他福利待遇纠纷,节日福利、补贴及实物发放纠纷,离职员工是否享有当年度已工作期间的相应福利
其他福利待遇纠纷,住房补贴、交通补贴、通讯补贴等专项货币补贴纠纷,补贴的发放性质（固定工资构成还是福利费用）
其他福利待遇纠纷,住房补贴、交通补贴、通讯补贴等专项货币补贴纠纷,发放标准、条件和方式的约定是否明确
其他福利待遇纠纷,住房补贴、交通补贴、通讯补贴等专项货币补贴纠纷,因岗位变动或出勤情况导致的补贴调整是否合理
其他福利待遇纠纷,培训、旅游、体检等非货币性福利纠纷,用人单位未兑现承诺的培训、旅游等福利是否构成违约
其他福利待遇纠纷,培训、旅游、体检等非货币性福利纠纷,福利享受资格的认定
其他福利待遇纠纷,培训、旅游、体检等非货币性福利纠纷,体检项目与费用承担的约定
其他福利待遇纠纷,股权激励、期权等长期激励计划纠纷,激励计划的协议效力
其他福利待遇纠纷,股权激励、期权等长期激励计划纠纷,授予、归属、行权、兑现等条件的成就与否
其他福利待遇纠纷,股权激励、期权等长期激励计划纠纷,因离职（主动辞职、被解雇等）导致的激励权益丧失或加速行权条款的效力
劳动安全卫生条件纠纷,劳动防护用品（具）配备与使用纠纷,用人单位是否依法为劳动者提供符合国家或行业标准的防护用品（如安全帽、防护口罩、绝缘手套、安全绳等）
劳动安全卫生条件纠纷,劳动防护用品（具）配备与使用纠纷,提供的防护用品是否足量、有效、适用；是否强制并监督劳动者正确佩戴和使用
劳动安全卫生条件纠纷,劳动防护用品（具）配备与使用纠纷,因未提供或提供不合格防护用品导致劳动者健康损害或事故的责任认定
劳动安全卫生条件纠纷,机械设备与工具安全性能纠纷,用人单位提供的生产设备、机械、工具是否符合安全技术规范，是否存有设计缺陷或老化故障
劳动安全卫生条件纠纷,机械设备与工具安全性能纠纷,是否建立并执行了定期的检查、维修、保养制度
劳动安全卫生条件纠纷,机械设备与工具安全性能纠纷,是否对特种设备（如锅炉、压力容器、起重机械）依法进行检验、登记和操作人员持证管理
劳动安全卫生条件纠纷,机械设备与工具安全性能纠纷,因设备缺陷导致工伤事故的责任划分
劳动安全卫生条件纠纷,作业场所环境安全纠纷,作业场所的通风、照明、温湿度、噪声、粉尘、有毒有害物质浓度等是否符合职业卫生标准
劳动安全卫生条件纠纷,作业场所环境安全纠纷,安全通道、消防设施、应急照明、警示标识是否齐全有效
劳动安全卫生条件纠纷,作业场所环境安全纠纷,是否存在坍塌、坠落、触电、火灾、爆炸等重大安全隐患且未及时整改
劳动安全卫生条件纠纷,职业病危害防护纠纷,用人单位是否对存在职业病危害的作业岗位进行申报
劳动安全卫生条件纠纷,职业病危害防护纠纷,是否进行职业病危害因素定期检测与评价并向劳动者公布
劳动安全卫生条件纠纷,职业病危害防护纠纷,是否组织上岗前、在岗期间和离岗时的职业健康检查
劳动安全卫生条件纠纷,职业病危害防护纠纷,是否为劳动者建立职业健康监护档案
劳动安全卫生条件纠纷,职业病危害防护纠纷,是否采取有效的工程防护或个体防护措施
劳动安全卫生条件纠纷,安全教育培训与操作规程纠纷,用人单位是否对劳动者（尤其是新入职、转岗人员）进行了必要的安全生产教育和培训，并考核合格
劳动安全卫生条件纠纷,安全教育培训与操作规程纠纷,是否制定了安全操作规程并督促执行
劳动安全卫生条件纠纷,安全教育培训与操作规程纠纷,是否对从事特种作业的劳动者进行专门培训并取得相应资格
劳动安全卫生条件纠纷,安全教育培训与操作规程纠纷,因培训不到位导致事故的责任
劳动安全卫生条件纠纷,女职工及未成年工特殊劳动保护纠纷,是否安排女职工从事矿山井下、高强度体力劳动等禁忌劳动
劳动安全卫生条件纠纷,女职工及未成年工特殊劳动保护纠纷,是否对孕期、哺乳期女职工给予劳动强度、工作时间、作业环境等方面的特殊保护
劳动安全卫生条件纠纷,女职工及未成年工特殊劳动保护纠纷,是否招用或安排未成年工从事有毒有害作业
职业病诊断与待遇纠纷,职业病诊断与鉴定程序纠纷,对职业病诊断结论不服引发的程序性争议，包括诊断机构的选择、诊断材料的提供、鉴定申请的提起等。
职业病诊断与待遇纠纷,职业病待遇项目与标准纠纷,停工留薪期待遇纠纷
职业病诊断与待遇纠纷,职业病待遇项目与标准纠纷,伤残待遇纠纷
职业病诊断与待遇纠纷,职业病待遇项目与标准纠纷,工亡待遇纠纷
职业病诊断与待遇纠纷,职业病待遇项目与标准纠纷,离职后待遇纠纷
职业病诊断与待遇纠纷,用人单位主体责任与赔偿纠纷,用人单位未履行职业病防治法定义务（如未进行职业健康检查、未建立健康监护档案、未提供有效防护等），导致劳动者罹患职业病，劳动者主张人身损害赔偿（如精神损害抚慰金）或惩罚性赔偿
女职工特殊劳动保护纠纷,因“三期”引发的劳动合同解除/终止纠纷,用人单位单方解除或终止处于“三期”女职工的劳动合同是否合法。
女职工特殊劳动保护纠纷,“三期”特殊待遇支付纠纷,产假工资/生育津贴、孕期哺乳期特殊劳动保护待遇（如产前检查时间、哺乳时间）、相关医疗费用的支付与计算
女职工特殊劳动保护纠纷,工作条件与岗位调整纠纷,用人单位因女职工处于“三期”而单方调整其工作岗位、降低薪酬，或未提供法律规定的劳动保护条件（如禁忌从事的劳动）
